par_comb,phi_0_init,gamma_init,lambda_init,phi_0_hat,gamma_hat,lambda_hat,phi_0_SE,gamma_SE,lambda_SE,phi_0_gamma_cor,phi_0_lambda_cor,gamma_lambda_cor,M_final,log_LR_estimates,phi_0_SE_sign,gamma_SE_sign,lambda_SE_sign
7,0.1,0.5,0.05,0.337401699,0.06732725,0.052061676,0.030926255,0.003997604,0.003081602,0.858415493,-0.142434827,-0.283293882,6,8.211731547,1,1,1
25,3,0.5,0.05,0.327656739,0.066253413,0.051947219,0.03064302,0.003639102,0.002447865,0.849230989,0.057449046,-0.031795007,12,7.662723265,1,1,1
4,0.1,0.1,0.05,0.333509735,0.067139485,0.051962885,0.026577402,0.003289861,0.002116101,0.832493288,-2.34E-08,-2.00E-08,6,7.084818529,1,1,1
10,1,0.01,0.05,0.332335828,0.066841199,0.051490369,0.026826837,0.003365141,0.002101755,0.837135017,0.000490353,0.000335095,9,5.189575269,1,1,1
16,1,0.5,0.05,0.321355079,0.067107266,0.050732745,0.025682083,0.003353274,0.002068022,0.833531168,-5.06E-05,-1.91E-05,6,-2.875451547,1,1,1
22,3,0.1,0.05,0.347627496,0.068721568,0.049403312,0.028805449,0.003365859,0.002035498,0.84564019,-0.011678551,-0.011254504,6,-6.401859683,1,1,1
13,1,0.1,0.05,0.338204145,0.068648866,0.049632822,0.028655582,0.003485687,0.002027147,0.852704096,-6.44E-05,-0.001566812,6,-7.494895524,1,1,1
7,0.1,0.5,0.05,0.351692104,0.070642968,0.047176934,0.032105319,0.003714699,0.001929003,0.874929933,-0.000314367,0.000904134,18,-21.66845035,1,1,1
16,1,0.5,0.05,0.336318518,0.069582577,0.046788445,0.027413299,0.003404636,0.001910867,0.840593935,3.14E-06,1.01E-06,15,-24.7688434,1,1,1
1,0.1,0.01,0.05,0.356030912,0.071061402,0.045738524,0.030154049,0.003559207,0.001872203,0.853376659,6.54E-08,3.78E-08,42,-29.47255635,1,1,1
1,0.1,0.01,0.05,0.340610554,0.070334794,0.044536708,0.028441521,0.00341014,0.001820216,0.848780486,-1.01E-07,-1.40E-07,6,-38.11522211,1,1,1
10,1,0.01,0.05,0.336635349,0.070630279,0.044369424,0.025965455,0.003258979,0.001832419,0.818632407,0.006319926,0.000273108,6,-40.94953132,1,1,1
19,3,0.01,0.05,0.33536411,0.070630358,0.043417847,0.026063977,0.003271046,0.001777428,0.82296449,9.02E-06,3.56E-07,9,-47.08916334,1,1,1
13,1,0.1,0.05,0.330532307,0.070534059,0.042337007,0.027989621,0.003559202,0.003408708,0.851782404,-0.259092782,-0.255939742,6,-55.15681365,1,1,1
4,0.1,0.1,0.05,0.339170738,0.071265062,0.041201042,0.028794046,0.003466782,0.001693944,0.84933583,-0.007788815,-0.000229426,6,-62.33194224,1,1,1
22,3,0.1,0.05,0.334779249,0.073295376,0.036244316,0.02792005,0.003442157,0.001566017,0.843768092,-0.018857746,-0.054170166,6,-108.8385119,1,1,1
3,0.1,0.01,0.2,0.129912741,2.00E-05,0.181148018,0.009725261,0.002913945,0.006832639,0.807094439,-0.001865622,-0.00461131,6,-203.5714119,1,1,1
