par_comb,phi_0_init,gamma_init,lambda_init,phi_0_hat,gamma_hat,lambda_hat,phi_0_SE,gamma_SE,lambda_SE,phi_0_gamma_cor,phi_0_lambda_cor,gamma_lambda_cor,M_final,num_iters,log_LR_estimates,phi_0_SE_sign,gamma_SE_sign,lambda_SE_sign
6,0.1,0.1,0.2,0.3297545475648615,0.05657116429621353,0.0837015662425985,0.03415552879750965,0.0035751216558137715,0.005086788750906063,0.728886802109407,0.441801634925606,0.05554823748801311,504,92,103.75177946196338,1.0,1.0,1.0
6,0.1,0.1,0.2,0.32895733825589907,0.059442168379677154,0.07372431601754453,0.029647276759730584,0.0036363896452238087,0.0032117920734611193,0.8369642318613052,-0.004361404540867779,-0.05339162391124144,936,95,90.03566057500261,1.0,1.0,1.0
7,0.1,0.5,0.05,0.35267994333515246,0.0736961637379178,0.03889759276824303,0.03188202629679469,0.0037071288842261485,0.0015966704493583833,0.8718805144504058,0.0022515078925660057,0.0011466629803501512,265,49,-82.4500568307236,1.0,1.0,1.0
7,0.1,0.5,0.05,0.3505130195148594,0.06342035021056841,0.06666073818017443,0.07893949808017964,0.009484840548737567,0.014671261327608211,0.9781032378074376,-0.8947921710796645,-0.9010521719492539,107,59,72.86073159533953,1.0,1.0,1.0
8,0.1,0.5,0.1,0.3413503432895347,0.06367123777099827,0.06561436324134397,0.027584107518485793,0.0034765879454662497,0.0026616983035207846,0.8375178289190658,0.000260921202961673,0.00014820199008332935,360,68,68.19496495407681,1.0,1.0,1.0
8,0.1,0.5,0.1,0.32654586348534625,0.0627476008647859,0.06453128515982476,0.027775252310741974,0.0037135840065210314,0.00330352922090423,0.8409322007268764,-0.03978708766183351,-0.14506567628648603,352,80,63.96133937519586,1.0,1.0,1.0
9,0.1,0.5,0.2,0.33579813388667124,0.06038609874432897,0.07470867585360551,0.034548272518935004,0.0045613730753894886,0.004492409526162279,0.8916050585927358,-0.3781314183991915,-0.4083843951415172,1023,150,91.28082464095772,1.0,1.0,1.0
9,0.1,0.5,0.2,0.3232734362106085,0.05439152892635997,0.08775582306705693,0.027405156551426262,0.003740822303026093,0.003523806592841514,0.8536728147559319,-6.324259176590227e-10,-7.651627261939285e-10,968,59,106.07834143346275,1.0,1.0,1.0
10,1.0,0.01,0.05,0.3238752491119248,0.07155046645753484,0.03957882062139633,0.02643227463969973,0.0034102393471457703,0.0016227139421804207,0.841031182799614,-2.3154181350978223e-7,-1.7451354903249793e-5,296,86,-79.82230748707251,1.0,1.0,1.0
10,1.0,0.01,0.05,0.3349783568280404,0.07080950149293712,0.04338729203006025,0.03150842742864265,0.003902591632682448,0.0028192901599972528,0.8778667353156903,-0.39256560503940885,-0.38033501873065273,216,69,-47.88597384876396,1.0,1.0,1.0
11,1.0,0.01,0.1,0.3381663851570518,0.05972609614318811,0.07488557967688589,0.027772823241585264,0.0035947554607125387,0.0036725758094383527,0.8140210944780464,0.06000754436185588,-0.07797940996604655,568,59,92.61746806110851,1.0,1.0,1.0
11,1.0,0.01,0.1,0.32720966497903553,0.059677463086129354,0.07246066866830386,0.027146571549672784,0.0034935339474253028,0.0029243102736196502,0.8461461104746477,0.000993997464347514,-0.0002009561796887512,105,76,87.33019110516165,1.0,1.0,1.0
12,1.0,0.01,0.2,0.3344892914022057,0.056963448091052284,0.08527435886265325,0.03199002244334605,0.003924637414221382,0.003903118570809834,0.8684254138085876,-0.1946218919132051,-0.1860433580988274,540,76,104.66534546025937,1.0,1.0,1.0
