par_comb,phi_0_init,gamma_init,lambda_init,phi_0_hat,gamma_hat,lambda_hat,phi_0_SE,gamma_SE,lambda_SE,phi_0_gamma_cor,phi_0_lambda_cor,gamma_lambda_cor,M_final,num_iters,log_LR_estimates,phi_0_SE_sign,gamma_SE_sign,lambda_SE_sign
12,1,0.01,0.2,0.329313877,0.053307733,0.092572791,0.030292527,0.004139371,0.006749663,0.788743397,-0.012860978,-0.360151039,1039,55,106.3262363,1,1,1
26,3,0.5,0.1,0.333893023,0.055213095,0.087607965,0.033071704,0.00393171,0.003484109,0.894225668,-0.002229776,-0.001817641,5,41,106.0242506,1,1,1
9,0.1,0.5,0.2,0.329498272,0.055581993,0.087229635,0.029949754,0.003797842,0.003483792,0.874104778,-3.22E-06,-6.15E-06,1452,60,105.8205872,1,1,1
23,3,0.1,0.1,0.332540266,0.05597344,0.087034792,0.027673731,0.00355952,0.003485096,0.847660087,-6.45E-07,-1.41E-06,14,34,105.7196149,1,1,1
27,3,0.5,0.2,0.333664977,0.05561973,0.086089381,0.029806013,0.003683098,0.003438882,0.869318828,3.40E-07,1.06E-08,5,32,105.4397614,1,1,1
2,0.1,0.01,0.1,0.340339623,0.05396417,0.096122218,0.028863936,0.004392859,0.006476213,0.792387538,-0.163364556,-0.46234063,11,20,105.220773,1,1,1
11,1,0.01,0.1,0.317864327,0.051527852,0.096677323,0.026817036,0.003591247,0.003883778,0.842969818,0.007430937,-0.010619699,5,3,105.1181443,1,1,1
11,1,0.01,0.1,0.334210191,0.052434806,0.097321206,0.032531486,0.003851871,0.005694041,0.814533271,0.286852337,0.028747022,5,8,104.2785186,1,1,1
20,3,0.01,0.1,0.324182124,0.051726524,0.098410765,0.027331991,0.003496622,0.004136304,0.848089828,-0.011884518,-0.039144349,1295,27,104.1347779,1,1,1
18,1,0.5,0.2,0.319589003,0.056249403,0.082764329,0.026135148,0.003453232,0.00331744,0.841733173,2.12E-07,-2.86E-07,27,58,102.5907215,1,1,1
12,1,0.01,0.2,0.333446237,0.057506414,0.081519101,0.027990884,0.003614492,0.003275958,0.850506169,-1.36E-05,-2.22E-05,1080,79,101.8203107,1,1,1
27,3,0.5,0.2,0.33511155,0.051492511,0.100689305,0.031440073,0.003774938,0.003977119,0.882349346,-2.21E-06,-3.45E-06,8,28,101.7139346,1,1,1
3,0.1,0.01,0.2,0.334939513,0.051252798,0.100816033,0.030232436,0.003635263,0.004004744,0.872137238,-0.001812175,-0.003348347,5,34,101.4198045,1,1,1
23,3,0.1,0.1,0.338452631,0.058470016,0.079326864,0.035153852,0.003940385,0.003929108,0.843127524,0.136077208,-0.008550205,5,8,99.41376977,1,1,1
2,0.1,0.01,0.1,0.343292409,0.051743329,0.103890666,0.030671724,0.003617264,0.004088922,0.869361146,-0.000307944,-0.000427684,5,7,99.34070371,1,1,1
