par_comb,phi_0_init,gamma_init,lambda_init,phi_0_hat,gamma_hat,lambda_hat,phi_0_SE,gamma_SE,lambda_SE,phi_0_gamma_cor,phi_0_lambda_cor,gamma_lambda_cor,M_final,num_iters,log_LR_estimates,phi_0_SE_sign,gamma_SE_sign,lambda_SE_sign
6,0.1,0.1,0.2,0.349574928,0.052256248,0.103563435,0.032755713,0.003888067,0.004161253,0.879821858,0.009417361,-0.002052406,5,23,99.15477241,1,1,1
18,1,0.5,0.2,0.340115379,0.058908175,0.078695455,0.034318641,0.005147808,0.006186706,0.880625887,-0.433934439,-0.616270111,14,47,98.50503421,1,1,1
8,0.1,0.5,0.1,0.336876574,0.059099844,0.077027316,0.02983553,0.003584531,0.003151851,0.824295361,0.04954613,-0.00066958,5,33,96.09312,1,1,1
15,1,0.1,0.2,0.331161486,0.048097279,0.111070099,0.028429714,0.003730721,0.004411214,0.857565737,-0.006156722,-0.007737477,5,14,92.84310655,1,1,1
14,1,0.1,0.1,0.335530521,0.059339868,0.074223227,0.02867698,0.003524941,0.00298486,0.856237103,-9.99E-07,-1.79E-06,8,25,91.74586865,1,1,1
21,3,0.01,0.2,0.326285838,0.059437567,0.073744392,0.027764889,0.003492365,0.002965601,0.854863872,-2.38E-06,-3.05E-06,11,53,89.68944829,1,1,1
8,0.1,0.5,0.1,0.333847391,0.059560846,0.073003448,0.02640285,0.003887896,0.005619422,0.708379563,0.06382681,-0.375140313,5,15,89.31750158,1,1,1
5,0.1,0.1,0.1,0.347328038,0.061049411,0.073065482,0.030984719,0.00370219,0.002941419,0.868909611,8.47E-05,1.13E-05,17,22,89.1438542,1,1,1
9,0.1,0.5,0.2,0.33050452,0.047068155,0.114515682,0.02676348,0.003598785,0.005096432,0.822965568,-0.013228992,-0.102914348,5,20,88.47124891,1,1,1
14,1,0.1,0.1,0.341517328,0.061321192,0.07154828,0.034834421,0.003564361,0.003923937,0.809162648,0.396865897,0.169513453,30,36,85.42501421,1,1,1
21,3,0.01,0.2,0.324624016,0.060751495,0.068802767,0.026901322,0.003450182,0.004178376,0.658491981,0.264514363,-0.181957152,48,77,77.97480356,1,1,1
26,3,0.5,0.1,0.324260093,0.060748252,0.068580012,0.026477452,0.003453196,0.002773022,0.840999229,-0.000130137,-0.000185341,8,28,77.41422965,1,1,1
24,3,0.1,0.2,0.336811013,0.062627458,0.065873913,0.025957578,0.003336026,0.002668137,0.819629573,6.81E-06,-1.87E-05,8,78,69.96742664,1,1,1
15,1,0.1,0.2,0.338164655,0.063193402,0.064400003,0.028534183,0.003547409,0.002608944,0.85218297,-5.71E-07,-5.33E-07,5,60,65.19519125,1,1,1
16,1,0.5,0.05,0.328063508,0.063177612,0.062747147,0.026136383,0.003403515,0.002572171,0.830182665,0.020188906,0.013451035,5,38,58.20777041,1,1,1
17,1,0.5,0.1,0.328145985,0.063237391,0.059641774,0.028622729,0.003527271,0.003170767,0.855486445,0.025080264,-0.053066013,5,67,47.87533637,1,1,1
6,0.1,0.1,0.2,0.344372663,0.043625837,0.134987839,0.034819122,0.004014957,0.009385121,0.754832074,0.243884598,-0.200244378,5,16,46.91786385,1,1,1
7,0.1,0.5,0.05,0.325919279,0.064187859,0.057239628,0.03708703,0.003859973,0.003122335,0.86044122,0.463508253,0.312537041,11,10,36.12579205,1,1,1
19,3,0.01,0.05,0.33095029,0.064845925,0.057056995,0.027653185,0.003520518,0.002322468,0.848998222,4.70E-07,-1.58E-08,5,16,35.16956709,1,1,1
17,1,0.5,0.1,0.340597323,0.065906233,0.05691302,0.042646956,0.004240176,0.006395092,0.892898107,-0.655118308,-0.488769051,8,82,34.50466123,1,1,1
5,0.1,0.1,0.1,0.328091033,0.066076098,0.054415118,0.02616523,0.003623314,0.002618318,0.797656899,-0.026743083,-0.172660525,18,41,19.97048613,1,1,1
22,3,0.1,0.05,0.32990825,0.065657279,0.0539636,0.027920552,0.003502578,0.002198829,0.853133353,-0.000117694,-7.60E-05,8,3,19.58431807,1,1,1
20,3,0.01,0.1,0.334216983,0.067004572,0.054045237,0.028427142,0.003567369,0.002310485,0.853077531,0.065380302,0.065948992,1014,58,17.60358003,1,1,1
16,1,0.5,0.05,0.340069649,0.067450004,0.053879145,0.028261834,0.003471855,0.002192419,0.847206144,-0.000341753,-0.000458316,26,80,17.32845812,1,1,1
24,3,0.1,0.2,0.333924831,0.039530573,0.146545551,0.032660355,0.004084777,0.005643667,0.892317666,3.27E-08,-2.38E-08,5,11,11.25031597,1,1,1
13,1,0.1,0.05,0.333759618,0.066995222,0.052682234,0.026901285,0.003419729,0.00215512,0.835387862,0.00844491,0.00609364,32,31,11.08589059,1,1,1
4,0.1,0.1,0.05,0.328538582,0.066724374,0.052405018,0.026410475,0.003354129,0.002135667,0.83565916,-7.81E-06,-8.33E-05,169,26,8.880832343,1,1,1
25,3,0.5,0.05,0.337515671,0.067374118,0.050758087,0.034188393,0.003978931,0.002149235,0.895595051,-0.015910454,-0.030812625,5,37,1.514696654,1,1,1
1,0.1,0.01,0.05,0.339888358,0.068288143,0.04974236,0.033701726,0.003858989,0.002172635,0.877862655,-0.154275419,-0.123033147,12,42,-5.522962349,1,1,1
13,1,0.1,0.05,0.340247465,0.068367435,0.04864275,0.028880642,0.003459395,0.001985492,0.854074315,3.56E-07,2.10E-08,5,22,-11.28883426,1,1,1
7,0.1,0.5,0.05,0.335749792,0.068884755,0.049015658,0.02619489,0.003352334,0.002004029,0.824472994,8.00E-07,2.33E-07,5,10,-11.86290505,1,1,1
19,3,0.01,0.05,0.338985497,0.068862886,0.048059589,0.028744699,0.00350959,0.002037686,0.848412072,0.013824276,-0.01106212,5,7,-15.77353238,1,1,1
25,3,0.5,0.05,0.339868284,0.069330349,0.04567826,0.027737967,0.003418985,0.001869631,0.84100009,0.000130869,-4.70E-06,5,21,-29.27967915,1,1,1
10,1,0.01,0.05,0.346642648,0.071686034,0.044469181,0.028364561,0.003484034,0.00189412,0.841274223,-0.036724591,-0.038663359,5,21,-40.51453494,1,1,1
10,1,0.01,0.05,0.33195121,0.070921555,0.044333256,0.027065765,0.003453387,0.001813677,0.84070332,-8.84E-08,-1.01E-07,216,66,-43.35694532,1,1,1
22,3,0.1,0.05,0.339183068,0.071199455,0.042944444,0.027374066,0.003331213,0.00175774,0.837091323,-1.26E-05,-1.17E-05,5,13,-50.55198491,1,1,1
4,0.1,0.1,0.05,0.33905174,0.072256887,0.040316153,0.037933498,0.066780337,0.085290661,-0.468394011,0.51344103,-0.998092264,24,48,-71.49879895,1,1,1
1,0.1,0.01,0.05,0.335402804,0.071673698,0.039434828,0.028741441,0.003530197,0.001650617,0.856091585,-0.004389979,-0.003530761,5,8,-77.42868304,1,1,1
3,0.1,0.01,0.2,0.13076263,2.00E-05,0.176609299,0.00975098,0.002776508,0.006684875,0.805882775,5.64E-07,2.33E-07,5,2,-192.8386635,1,1,1
