parameter,estimate,SE,lcl,ucl
phi_0,0.32789531775557923,0.02589033979313922,0.27715025176102637,0.3786403837501321
gamma,0.0539815963395704,0.0034173805543105105,0.0472835304531218,0.060679662226019
lambda,0.09151489302362513,0.003659253099951632,0.08434275694771994,0.09868702909953032
